  [Epoch 04/12] Batch 1450/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1500/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1550/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1600/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1650/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1700/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1750/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1800/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1850/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1900/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04
  [Epoch 04/12] Batch 1918/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.88e-04

>>> [EPOCH 04/12] COMPLETE | Avg Loss: nan | Time: 18.1 min | LR: 4.52e-04
  [Epoch 05/12] Batch 0050/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0100/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0150/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0200/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0250/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0300/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0350/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0400/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0450/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0500/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0550/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0600/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0650/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0700/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0750/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0800/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0850/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0900/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 0950/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1000/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1050/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1100/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1150/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1200/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1250/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1300/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1350/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1400/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1450/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1500/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1550/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1600/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1650/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1700/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1750/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1800/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1850/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1900/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04
  [Epoch 05/12] Batch 1918/1918 | Loss: nan | VRAM: 0.48 GB | LR: 4.52e-04

>>> [EPOCH 05/12] COMPLETE | Avg Loss: nan | Time: 17.6 min | LR: 3.97e-04
  [Epoch 06/12] Batch 0050/1918 | Loss: nan | VRAM: 0.48 GB | LR: 3.97e-04
  [Epoch 06/12] Batch 0100/1918 | Loss: nan | VRAM: 0.48 GB | LR: 3.97e-04
  [Epoch 06/12] Batch 0150/1918 | Loss: nan | VRAM: 0.48 GB | LR: 3.97e-04
  [Epoch 06/12] Batch 0200/1918 | Loss: nan | VRAM: 0.48 GB | LR: 3.97e-04
